strategy,hold_days,sharpe,win_rate,avg_return_bps,total_return_bps,max_dd_bps,total_trades,verdict,exp_id
contrarian_smart,1,-1.24,42.6,-34.3,-468408.0,-472031.0,13663,no_signal,exp_20230103_001
contrarian_smart,5,-1.5,42.4,-33.9,-463010.0,-464547.0,13663,no_signal,exp_20230103_002
contrarian_smart,10,2.43,53.6,215.2,2939820.0,-18211.0,13663,promising,exp_20230103_003
contrarian_smart,20,3.36,55.9,411.5,5621697.0,-16069.0,13663,promising,exp_20230103_004
contrarian_smart,60,4.96,57.1,1029.1,14060587.0,-19671.0,13663,promising,exp_20230103_005
concentration,1,0.32,44.6,8.8,20322.0,-18219.0,2313,no_signal,exp_20230103_006
concentration,5,0.93,49.4,20.5,47413.0,-6530.0,2313,marginal,exp_20230103_007
concentration,10,5.45,61.7,405.5,937998.0,-11904.0,2313,promising,exp_20230103_008
concentration,20,6.85,64.4,768.3,1777084.0,-10142.0,2313,promising,exp_20230103_009
concentration,60,10.06,74.2,2168.1,5014784.0,-16482.0,2313,promising,exp_20230103_010
contrarian_broker,1,0.23,46.3,7.8,37783.0,-25520.0,4828,no_signal,exp_20230103_011
contrarian_broker,5,-0.26,44.9,-6.2,-29792.0,-45592.0,4828,no_signal,exp_20230103_012
contrarian_broker,10,5.54,59.6,508.9,2457006.0,-10861.0,4828,promising,exp_20230103_013
contrarian_broker,20,6.71,61.6,899.7,4343894.0,-11041.0,4828,promising,exp_20230103_014
contrarian_broker,60,7.7,64.8,1796.1,8671800.0,-16377.0,4828,promising,exp_20230103_015
exodus,1,-0.76,51.0,-28.2,-515328.0,-531540.0,18268,no_signal,exp_20230103_016
exodus,5,-1.91,40.2,-46.1,-842939.0,-844463.0,18268,no_signal,exp_20230103_017
exodus,10,-1.03,55.1,-101.5,-1854179.0,-1875281.0,18268,no_signal,exp_20230103_018
exodus,20,-1.99,54.1,-280.6,-5126901.0,-5144860.0,18268,no_signal,exp_20230103_019
exodus,60,-2.09,55.5,-488.6,-8925108.0,-8928773.0,18268,no_signal,exp_20230103_020
dual_window,1,-0.24,43.8,-8.3,-109779.0,-125949.0,13281,no_signal,exp_20230104_001
dual_window,5,-0.81,44.3,-18.9,-250677.0,-257586.0,13281,no_signal,exp_20230104_002
dual_window,10,4.68,57.6,441.1,5858167.0,-16387.0,13281,promising,exp_20230104_003
dual_window,20,6.25,61.0,876.2,11636624.0,-18713.0,13281,promising,exp_20230104_004
dual_window,60,8.44,67.4,2106.1,27971639.0,-12922.0,13281,promising,exp_20230104_005
conviction,1,0.08,45.0,3.0,28430.0,-55959.0,9340,no_signal,exp_20230105_001
conviction,5,-0.77,44.0,-18.1,-169269.0,-174124.0,9340,no_signal,exp_20230105_002
conviction,10,4.9,58.0,478.5,4469290.0,-16849.0,9340,promising,exp_20230105_003
conviction,20,6.36,61.1,890.5,8317381.0,-13481.0,9340,promising,exp_20230105_004
conviction,60,7.95,65.6,1944.0,18156705.0,-18745.0,9340,promising,exp_20230105_005
